"","series","episode","first_name","last_name","signature_bake","technical","show_stopper","result","baker_age","baker_occupation","hometown"
"505",5,9,"Nancy","Birtwhistle","Coffee and Chocolate BaklavaBreakfast Baklava",3,"Raspberry NonnettesLime and Passion Fruit Entremets","IN",60,"Retired Practice Manager","Barton-upon-Humber, Lincolnshire"
"506",5,9,"Chetna","Makan","Chocolate Orange Baklava Masala Chai Baklava",4,"Chocolate, Orange & Nut EntremetsCappuccino Entremets","OUT",35,"Fashion Designer","Broadstairs, Kent"
"507",5,9,"Richard","Burr","Rose and Pistachio BaklavaWalnut and Almond Baklava",2,"Hazelnut Mocha EntremetsPink Grapefruit Entremets","STAR BAKER",38,"Builder","Mill Hill, London"
"508",5,9,"Claire","Goodwin",NA,NA,NA,NA,31,"Speech Therapist","Ashton upon Mersey, Trafford"
"509",5,9,"Enwezor","Nzegwu",NA,NA,NA,NA,39,"Business Consultant","Portsmouth, Hampshire"
"510",5,9,"Iain","Watters",NA,NA,NA,NA,31,"Construction Engineer","London/Belfast"
"511",5,9,"Jordan","Cox",NA,NA,NA,NA,32,"IT Manager","Sneinton, Nottingham"
"512",5,9,"Kate","Henry",NA,NA,NA,NA,41,"Furniture Restorer","Brighton, East Sussex"
"513",5,9,"Martha","Collison",NA,NA,NA,NA,17,"Student","Ascot, Berkshire"
"514",5,9,"Norman","Calder",NA,NA,NA,NA,66,"Retired Naval Officer","Portknockie, Moray"
"515",5,10,"Diana","Beard",NA,NA,NA,"IN",69,"Women's Institute (WI) Judge","Alkington, Shropshire"
"516",5,10,"Luis","Troyano","Apple, Walnut, Raisin and Cheshire Cheese ChaussonsPain au Chocolat Blanc with Raspberries and Cream Cheese",2,"Village in Chocolate","Runner-up",42,"Graphic Designer","Poynton, Cheshire"
"517",5,10,"Richard","Burr","Pear Pain au ChocolatPain Au Lait",3,"Mill on the Hill","Runner-up",38,"Builder","Mill Hill, London"
"518",5,10,"Nancy","Birtwhistle","Apple and Lemon KitesRaspberry and Almond Croissants",1,"Red Windmill","WINNER",60,"Retired Practice Manager","Barton-upon-Humber, Lincolnshire"
"519",5,10,"Chetna","Makan",NA,NA,NA,NA,35,"Fashion Designer","Broadstairs, Kent"
"520",5,10,"Claire","Goodwin",NA,NA,NA,NA,31,"Speech Therapist","Ashton upon Mersey, Trafford"
"521",5,10,"Enwezor","Nzegwu",NA,NA,NA,NA,39,"Business Consultant","Portsmouth, Hampshire"
"522",5,10,"Iain","Watters",NA,NA,NA,NA,31,"Construction Engineer","London/Belfast"
"523",5,10,"Jordan","Cox",NA,NA,NA,NA,32,"IT Manager","Sneinton, Nottingham"
"524",5,10,"Kate","Henry",NA,NA,NA,NA,41,"Furniture Restorer","Brighton, East Sussex"
"525",5,10,"Martha","Collison",NA,NA,NA,NA,17,"Student","Ascot, Berkshire"
"526",5,10,"Norman","Calder",NA,NA,NA,NA,66,"Retired Naval Officer","Portknockie, Moray"
"527",6,1,"Alvin","Magallanes","Orange Vanilla and Fig Madeira Cake",2,"Black Forest Gâteau","IN",37,"Nurse","Bracknell, Berkshire"
"528",6,1,"Dorret","Conway","Madeira Cake with Candied Lemons",5,"Enchanted Forest Gâteau","IN",53,"Accountant","Penwortham, Lancashire"
"529",6,1,"Flora","Shedden","Blood Orange Madeira Cake",6,"Black Forest Gâteau","IN",19,"Art gallery assistant","Dunkeld, Perth and Kinross"
"530",6,1,"Ian","Cumming","Somewhere West of Madeira Cake",8,"Black Forest Cherry Tree","IN",41,"Travel photographer","Great Wilbraham, Cambridgeshire"
"531",6,1,"Mat","Riley","Gin and Tonic Madeira Cake",7,"Black Forest Gateau","IN",37,"Fire fighter","London"
"532",6,1,"Nadiya","Hussain","Orange and Green Cardamom Madeira Cake",12,"Quadruple Chocolate Black Forest Gâteau","IN",30,"Full-time mother","Leeds / Luton"
"533",6,1,"Paul","Jagger","Lemon, Ginger and Caraway Seed Madeira Cake",10,"Black Forest Chocolate Creation","IN",49,"Prison governor","Swansea, Wales"
"534",6,1,"Sandy","Docherty","Madeira Cake with Almond Liqueur and Chopped Apricots",9,"Black Forest Gâteau","IN",49,"Child welfare officer","Yeadon, West Yorkshire"
"535",6,1,"Tamal","Ray","Pistachio and Rose Madeira Cake",4,"Black Forest Gâteau in a Chocolate Shell","IN",29,"Trainee anaesthetist","Manchester"
"536",6,1,"Ugnė","Bubnaityte","Lemon and Thyme Madeira Cake",1,"Falling Cup Gâteau","IN",32,"PA and administrator","Woodford, London / Vilkaviškis, Lithuania"
"537",6,1,"Stu","Henshall","Marley Madeira Cake",11,"Purple Forest Gâteau","OUT",35,"Professional musician","Guildford, Surrey"
"538",6,1,"Marie","Campbell","Zingy Citrus Madeira Cake",3,"A Walk in the Black Forest","STAR BAKER",66,"Retired","Auchterarder, Perthshire"
"539",6,2,"Alvin","Magallanes","Jackfruit, Pistachio and Macadamia Biscotti",6,"Gingerbread Box filled with Brandy Snaps","IN",37,"Nurse","Bracknell, Berkshire"
"540",6,2,"Dorret","Conway","Almond and Apricot Biscotti with Amber Sugar Crystals",1,"Box of Frogs","IN",53,"Accountant","Penwortham, Lancashire"
"541",6,2,"Flora","Shedden","Wedding Biscotti",2,"Honey and Earl Grey Tea Box","IN",19,"Art gallery assistant","Dunkeld, Perth and Kinross"
"542",6,2,"Mat","Riley","Pistachio, Cranberry and White Chocolate Biscotti",5,"Gingerbread Fire Engine","IN",37,"Fire fighter","London"
"543",6,2,"Nadiya","Hussain","Coconut, Fennel and Pistachio Biscotti",9,"Box of Fortunes","IN",30,"Full-time mother","Leeds / Luton"
"544",6,2,"Paul","Jagger","Chocolate, Hazelnut and Fig Biscotti",10,"Memory Box","IN",49,"Prison governor","Swansea, Wales"
"545",6,2,"Sandy","Docherty","Chocolate Chunk and Hazelnut Biscotti",4,"Sundried Tomato Cheese Biscuit Box","IN",49,"Child welfare officer","Yeadon, West Yorkshire"
"546",6,2,"Tamal","Ray","Cinnamon, Maple and Cranberry Biscotti",8,"Chessboard Box","IN",29,"Trainee anaesthetist","Manchester"
"547",6,2,"Ugnė","Bubnaityte","White Wine Biscotti",7,"Baby Climbing into the Cookie Box","IN",32,"PA and administrator","Woodford, London / Vilkaviškis, Lithuania"
"548",6,2,"Marie","Campbell","Biscotti Italiano",11,"Russian Box","OUT",66,"Retired","Auchterarder, Perthshire"
"549",6,2,"Ian","Cumming","Orange, Rosemary and Almond Biscotti",3,"Sandwich de la Confiture","STAR BAKER",41,"Travel photographer","Great Wilbraham, Cambridgeshire"
"550",6,2,"Stu","Henshall",NA,NA,NA,NA,35,"Professional musician","Guildford, Surrey"
"551",6,3,"Alvin","Magallanes","Prosciutto, Manchego and Balsamic Onion Soda Breads",4,"Cornucopia","IN",37,"Nurse","Bracknell, Berkshire"
"552",6,3,"Flora","Shedden","Fig and Hazelnut Rye Breads",2,"Herb Couture","IN",19,"Art gallery assistant","Dunkeld, Perth and Kinross"
"553",6,3,"Mat","Riley","Jalapeño, Mexican Cheddar and Smoked Salt Soda Breads",8,"Curry Inspired Brighton Pavilion","IN",37,"Fire fighter","London"
"554",6,3,"Nadiya","Hussain","Mexican Bread with Warm Tomato Salsa",9,"Snake Charmer's Basket","IN",30,"Full-time mother","Leeds / Luton"
"555",6,3,"Paul","Jagger","Cranberry and Orange Sweet Soda Breads",10,"King of the Jungle","IN",49,"Prison governor","Swansea, Wales"
"556",6,3,"Sandy","Docherty","Soda Breads with Smoked Bacon and Onion",7,"Basket of Bread Flowers with a Walnut and Blue Cheese Centre","IN",49,"Child welfare officer","Yeadon, West Yorkshire"
"557",6,3,"Tamal","Ray","Fig, Cheese and Walnut Breads",3,"Breadcycle","IN",29,"Trainee anaesthetist","Manchester"
"558",6,3,"Ugnė","Bubnaityte","Chocolate Quick Breads with Salted Caramel Sauce",5,"Easter Basket","IN",32,"PA and administrator","Woodford, London / Vilkaviškis, Lithuania"
"559",6,3,"Dorret","Conway","Walnut and Stilton Soda Breads",6,"Unmade Bread","OUT",53,"Accountant","Penwortham, Lancashire"
"560",6,3,"Ian","Cumming","Wild Garlic Pesto Soda Breads",1,"Flour Power","STAR BAKER",41,"Travel photographer","Great Wilbraham, Cambridgeshire"
"561",6,3,"Marie","Campbell",NA,NA,NA,NA,66,"Retired","Auchterarder, Perthshire"
"562",6,3,"Stu","Henshall",NA,NA,NA,NA,35,"Professional musician","Guildford, Surrey"
"563",6,4,"Alvin","Magallanes","Blackberry Crème Brûlées",9,"Tower of Fruits Cheesecakes","IN",37,"Nurse","Bracknell, Berkshire"
"564",6,4,"Flora","Shedden","Rhubarb and Ginger Crème Brûlées",3,"Elderflower and Granola Cheesecakes","IN",19,"Art gallery assistant","Dunkeld, Perth and Kinross"
